'LBL_STATUS','LBL_STATUS',"'Status:',","'Status:',",Leads
'LBL_TITLE','LBL_TITLE',"'Titel:',","'Title:',",Leads
'LNK_IMPORT_VCARD','LNK_IMPORT_VCARD',"'Interessent aus vCard erstellen',","'Create Lead From vCard',",Leads
'LNK_LEAD_LIST','LNK_LEAD_LIST',"'Interessenten anzeigen',","'View Leads',",Leads
'LNK_NEW_ACCOUNT','LNK_NEW_ACCOUNT',"'Neue Firma',","'Create Organisation',",Leads
'LNK_NEW_APPOINTMENT','LNK_NEW_APPOINTMENT',"'Neuer Termin',","'Create Appointment',",Leads
'LNK_NEW_CONTACT','LNK_NEW_CONTACT',"'Neuer Kontakt',","'Create Contact',",Leads
'LNK_NEW_LEAD','LNK_NEW_LEAD',"'Neuer Interessent',","'Create Lead',",Leads
'LNK_NEW_NOTE','LNK_NEW_NOTE',"'Neue Notiz',","'Create Note',",Leads
'LNK_NEW_TASK','LNK_NEW_TASK',"'Neue Aufgabe',","'Create Task',",Leads
'LNK_NEW_CASE','LNK_NEW_CASE',"'Neuer Fall',","'Create Case',",Leads
'LNK_NEW_CALL','LNK_NEW_CALL',"'Neuer Anruf',","'Log Call',",Leads
'LNK_NEW_MEETING','LNK_NEW_MEETING',"'Neues Meeting',","'Schedule Meeting',",Leads
'LNK_NEW_OPPORTUNITY','LNK_NEW_OPPORTUNITY',"'Neue Verkaufschance',","'Create Opportunity',",Leads
'LNK_SELECT_ACCOUNTS','LNK_SELECT_ACCOUNTS',"' <b>ODER</b> Firma auswählen',","' <b>OR</b> Select Organisation',",Leads
'LBL_SELECT_ACCOUNTS','LBL_SELECT_ACCOUNTS',"'Firma auswählen',","'Select Organisation',",Leads
'LNK_SELECT_CONTACTS','LNK_SELECT_CONTACTS',"' <b>ODER</b> Kontakt auswählen',","' <b>OR</b> Select Contact',",Leads
'NTC_COPY_ALTERNATE_ADDRESS','NTC_COPY_ALTERNATE_ADDRESS',"'Weitere Adresse in Hauptadresse kopieren',","'Copy alternate address to primary address',",Leads
'NTC_COPY_PRIMARY_ADDRESS','NTC_COPY_PRIMARY_ADDRESS',"'Hauptadresse in weitere Adresse kopieren',","'Copy primary address to alternate address',",Leads
'NTC_DELETE_CONFIRMATION','NTC_DELETE_CONFIRMATION',"'Sind Sie sicher, dass Sie diesen Eintrag löschen wollen?',","'Are you sure you want to delete this record?',",Leads
'NTC_OPPORTUNITY_REQUIRES_ACCOUNT','NTC_OPPORTUNITY_REQUIRES_ACCOUNT',"'Zum Erstellen einer Verkaufschance benötigen Sie eine Firma. Bitte erstellen Sie eine Firma oder wählen Sie eine existierende aus.',","'Creating an opportunity requires an account.\n Please either create a new one or select an existing one.',",Leads
'NTC_REMOVE_CONFIRMATION','NTC_REMOVE_CONFIRMATION',"'Möchten Sie diesen Interessenten wirklich aus diesem Fall löschen?',","'Are you sure you want to remove this lead from this case?',",Leads
'NTC_REMOVE_DIRECT_REPORT_CONFIRMATION','NTC_REMOVE_DIRECT_REPORT_CONFIRMATION',"'Möchten Sie diesen Eintrag wirklich als direkten Bericht entfernen?',","'Are you sure you want to remove this record as a direct report?',",Leads
'LBL_CAMPAIGN_LIST_SUBPANEL_TITLE','LBL_CAMPAIGN_LIST_SUBPANEL_TITLE',"'Kampagnen',","'Campaigns',",Leads
'LBL_TARGET_OF_CAMPAIGNS','LBL_TARGET_OF_CAMPAIGNS',"'Erfolgreiche Kampagne:',","'Successful Campaign:',",Leads
'LBL_TARGET_BUTTON_LABEL','LBL_TARGET_BUTTON_LABEL',"'Gezielt',","'Targeted',",Leads
'LBL_TARGET_BUTTON_TITLE','LBL_TARGET_BUTTON_TITLE',"'Gezielt',","'Targeted',",Leads
'LBL_TARGET_BUTTON_KEY','LBL_TARGET_BUTTON_KEY',"'T',","'T',",Leads
'LBL_CAMPAIGN_ID','LBL_CAMPAIGN_ID',"'Kampagnen ID',","'Campaign Id',",Leads,'LBL_CAMPAIGN_ID','LBL_CAMPAIGN_ID',"'Kampagnen ID',","'Campaign ID',",Leads
'LBL_CAMPAIGN_ID','LBL_CAMPAIGN_ID',"'Kampagnen ID',","'Campaign Id',",Leads,'LBL_CAMPAIGN_ID','LBL_CAMPAIGN_ID',"'Kampagnen ID',","'Campaign ID',",Leads
'LBL_CAMPAIGN','LBL_CAMPAIGN',"'Kampagne:',","'Campaign:',",Leads
'LBL_LIST_ASSIGNED_TO_NAME','LBL_LIST_ASSIGNED_TO_NAME',"'Zugew. Benutzer',","'Assigned User',",Leads
'LBL_PROSPECT_LIST','LBL_PROSPECT_LIST',"'Kontaktliste',","'Prospect List',",Leads
'LBL_CAMPAIGN_LEAD','LBL_CAMPAIGN_LEAD',"'Kampagnen',","'Campaigns',",Leads
'LBL_BIRTHDATE','LBL_BIRTHDATE',"'Geburtstag:',","'Birthdate:',",Leads
'LBL_THANKS_FOR_SUBMITTING_LEAD','LBL_THANKS_FOR_SUBMITTING_LEAD',"'Vielen Dank für die Eingabe.',","'Thank You For Your Submission.',",Leads
'LBL_SERVER_IS_CURRENTLY_UNAVAILABLE','LBL_SERVER_IS_CURRENTLY_UNAVAILABLE',"'Es tut uns leid, der Server ist im Moment nicht erreichbar, versuchen Sie es bitte später noch einmal.',","'We are sorry, the server is currently unavailable, please try again later.',",Leads
'LBL_ASSISTANT_PHONE','LBL_ASSISTANT_PHONE',"'Telefon Assistent(in)',","'Assistant Phone',",Leads
'LBL_ASSISTANT','LBL_ASSISTANT',"'Assistent(in)',","'Assistant',",Leads
'LBL_REGISTRATION','LBL_REGISTRATION',"'Registrierung',","'Registration',",Leads
'LBL_MESSAGE','LBL_MESSAGE',"'Bitte geben Sie Ihre Information unten ein. Information und/oder ein Konto wird für Sie erstellt - vorausgesetzt Sie stimmen zu.',","'Please enter your information below. Information and/or an account will be created for you pending approval.',",Leads
'LBL_SAVED','LBL_SAVED',"'Danke für Ihre Registrierung. Ihr Konto wird angelegt und Sie werden in Kürze kontaktiert.',","'Thank you for registering. Your account will be created and someone will contact you shortly.',",Leads
'LBL_CLICK_TO_RETURN','LBL_CLICK_TO_RETURN',"'Zurück zum Portal',","'Return to Portal',",Leads
'LBL_CREATED_USER','LBL_CREATED_USER',"'Erstellt von',","'Created User',",Leads
'LBL_MODIFIED_USER','LBL_MODIFIED_USER',"'Geändert von',","'Modified User',",Leads
'LBL_CAMPAIGNS','LBL_CAMPAIGNS',"'Kampagnen',","'Campaigns',",Leads
'LBL_CAMPAIGNS_SUBPANEL_TITLE','LBL_CAMPAIGNS_SUBPANEL_TITLE',"'Kampagnen',","'Campaigns',",Leads
'LBL_CONVERT_MODULE_NAME','LBL_CONVERT_MODULE_NAME',"'Modul',","'Module',",Leads
'LBL_CONVERT_REQUIRED','LBL_CONVERT_REQUIRED',"'Erforderlich',","'Required',",Leads
'LBL_CONVERT_SELECT','LBL_CONVERT_SELECT',"'Auswahl erlauben',","'Allow Selection',",Leads
'LBL_CONVERT_COPY','LBL_CONVERT_COPY',"'Daten kopieren',","'Copy Data',",Leads
'LBL_CONVERT_EDIT','LBL_CONVERT_EDIT',"'Bearbeiten',","'Edit',",Leads
'LBL_CONVERT_DELETE','LBL_CONVERT_DELETE',"'Löschen',","'Delete',",Leads
